,hvtnfet_off,hvtnfet_on,hvtpfet_off,hvtpfet_on,lvtnfet_off,lvtnfet_on,lvtpfet_off,lvtpfet_on,rvtnfet_off,rvtnfet_on,rvtpfet_off,rvtpfet_on,srpdanfet_off,srpdanfet_on,srpdbnfet_off,srpdbnfet_on,srpdcnfet_off,srpdcnfet_on,srpdlnfet_off,srpdlnfet_on,srpganfet_off,srpganfet_on,srpgbnfet_off,srpgbnfet_on,srpgcnfet_off,srpgcnfet_on,srpglnfet_off,srpglnfet_on,srpuapfet_off,srpuapfet_on,srpubpfet_off,srpubpfet_on,srpucpfet_off,srpucpfet_on,srpulpfet_off,srpulpfet_on
voltage(V),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A),current(A)
1.00E+00,1.22E-07,8.11E-05,7.74E-10,4.77E-05,2.49E-07,8.68E-05,3.70E-08,7.25E-05,1.45E-07,8.30E-05,3.80E-09,6.56E-05,1.16E-09,4.87E-05,1.16E-09,4.87E-05,3.54E-09,5.76E-05,1.70E-08,7.63E-05,9.99E-10,6.07E-05,3.05E-09,6.95E-05,3.98E-09,6.97E-05,5.16E-09,8.47E-05,1.09E-09,3.05E-05,1.09E-09,3.05E-05,3.08E-10,2.95E-05,2.76E-08,4.76E-05
9.90E-01,1.20E-07,8.00E-05,7.51E-10,4.71E-05,2.44E-07,8.56E-05,3.61E-08,7.14E-05,1.42E-07,8.19E-05,3.73E-09,6.46E-05,1.09E-09,4.75E-05,1.09E-09,4.75E-05,3.44E-09,5.62E-05,1.66E-08,7.50E-05,9.77E-10,5.94E-05,3.01E-09,6.82E-05,3.82E-09,6.82E-05,5.03E-09,8.31E-05,1.08E-09,2.99E-05,1.08E-09,2.99E-05,3.03E-10,2.89E-05,2.67E-08,4.68E-05
9.80E-01,1.18E-07,7.88E-05,7.29E-10,4.64E-05,2.40E-07,8.45E-05,3.51E-08,7.02E-05,1.40E-07,8.07E-05,3.66E-09,6.35E-05,1.08E-09,4.63E-05,1.08E-09,4.63E-05,3.34E-09,5.48E-05,1.63E-08,7.38E-05,9.66E-10,5.80E-05,2.98E-09,6.68E-05,3.70E-09,6.66E-05,4.92E-09,8.16E-05,1.06E-09,2.93E-05,1.06E-09,2.93E-05,2.97E-10,2.83E-05,2.58E-08,4.60E-05
9.70E-01,1.16E-07,7.77E-05,7.08E-10,4.57E-05,2.35E-07,8.33E-05,3.42E-08,6.91E-05,1.37E-07,7.95E-05,3.58E-09,6.24E-05,1.07E-09,4.51E-05,1.07E-09,4.51E-05,3.25E-09,5.35E-05,1.59E-08,7.25E-05,9.44E-10,5.67E-05,2.92E-09,6.55E-05,3.60E-09,6.51E-05,4.79E-09,8.00E-05,1.05E-09,2.87E-05,1.05E-09,2.87E-05,2.92E-10,2.77E-05,2.49E-08,4.52E-05
9.60E-01,1.14E-07,7.65E-05,6.87E-10,4.50E-05,2.30E-07,8.22E-05,3.33E-08,6.80E-05,1.35E-07,7.83E-05,3.51E-09,6.13E-05,1.03E-09,4.39E-05,1.03E-09,4.39E-05,3.18E-09,5.21E-05,1.56E-08,7.12E-05,9.22E-10,5.54E-05,2.88E-09,6.41E-05,3.46E-09,6.36E-05,4.69E-09,7.84E-05,1.03E-09,2.81E-05,1.03E-09,2.81E-05,2.87E-10,2.72E-05,2.41E-08,4.45E-05
9.50E-01,1.12E-07,7.53E-05,6.67E-10,4.43E-05,2.26E-07,8.10E-05,3.25E-08,6.69E-05,1.33E-07,7.71E-05,3.45E-09,6.02E-05,9.99E-10,4.27E-05,9.99E-10,4.27E-05,3.06E-09,5.08E-05,1.52E-08,6.99E-05,8.99E-10,5.40E-05,2.83E-09,6.28E-05,3.35E-09,6.21E-05,4.57E-09,7.69E-05,1.02E-09,2.75E-05,1.02E-09,2.75E-05,2.82E-10,2.66E-05,2.33E-08,4.37E-05
9.40E-01,1.10E-07,7.41E-05,6.47E-10,4.36E-05,2.21E-07,7.98E-05,3.17E-08,6.58E-05,1.31E-07,7.59E-05,3.38E-09,5.91E-05,9.77E-10,4.15E-05,9.77E-10,4.15E-05,3.00E-09,4.95E-05,1.49E-08,6.86E-05,8.88E-10,5.27E-05,2.80E-09,6.14E-05,3.25E-09,6.06E-05,4.47E-09,7.53E-05,1.00E-09,2.69E-05,1.00E-09,2.69E-05,2.77E-10,2.60E-05,2.25E-08,4.29E-05
9.30E-01,1.08E-07,7.29E-05,6.28E-10,4.29E-05,2.17E-07,7.87E-05,3.10E-08,6.47E-05,1.29E-07,7.48E-05,3.32E-09,5.80E-05,9.55E-10,4.03E-05,9.55E-10,4.03E-05,2.90E-09,4.82E-05,1.46E-08,6.73E-05,8.77E-10,5.14E-05,2.74E-09,6.01E-05,3.15E-09,5.91E-05,4.36E-09,7.37E-05,9.88E-10,2.63E-05,9.88E-10,2.63E-05,2.72E-10,2.55E-05,2.17E-08,4.21E-05
9.20E-01,1.06E-07,7.17E-05,6.09E-10,4.22E-05,2.13E-07,7.75E-05,3.02E-08,6.36E-05,1.27E-07,7.35E-05,3.25E-09,5.69E-05,9.33E-10,3.92E-05,9.33E-10,3.92E-05,2.83E-09,4.69E-05,1.43E-08,6.60E-05,8.33E-10,5.01E-05,2.72E-09,5.87E-05,3.04E-09,5.76E-05,4.26E-09,7.21E-05,9.73E-10,2.57E-05,9.73E-10,2.57E-05,2.67E-10,2.49E-05,2.10E-08,4.13E-05
9.10E-01,1.05E-07,7.05E-05,5.91E-10,4.15E-05,2.09E-07,7.63E-05,2.96E-08,6.24E-05,1.25E-07,7.23E-05,3.19E-09,5.58E-05,9.22E-10,3.80E-05,9.22E-10,3.80E-05,2.76E-09,4.56E-05,1.40E-08,6.47E-05,8.22E-10,4.88E-05,2.67E-09,5.74E-05,2.92E-09,5.61E-05,4.16E-09,7.05E-05,9.59E-10,2.52E-05,9.59E-10,2.52E-05,2.62E-10,2.43E-05,2.02E-08,4.05E-05
9.00E-01,1.03E-07,6.93E-05,5.73E-10,4.08E-05,2.05E-07,7.51E-05,2.89E-08,6.13E-05,1.23E-07,7.11E-05,3.13E-09,5.47E-05,8.99E-10,3.69E-05,8.99E-10,3.69E-05,2.68E-09,4.43E-05,1.37E-08,6.34E-05,8.11E-10,4.75E-05,2.63E-09,5.60E-05,2.83E-09,5.47E-05,4.04E-09,6.89E-05,9.45E-10,2.46E-05,9.45E-10,2.46E-05,2.57E-10,2.37E-05,1.95E-08,3.98E-05
8.90E-01,1.01E-07,6.81E-05,5.56E-10,4.00E-05,2.01E-07,7.39E-05,2.82E-08,6.02E-05,1.21E-07,6.99E-05,3.08E-09,5.36E-05,8.66E-10,3.58E-05,8.66E-10,3.58E-05,2.60E-09,4.30E-05,1.34E-08,6.21E-05,7.88E-10,4.62E-05,2.58E-09,5.47E-05,2.75E-09,5.33E-05,3.94E-09,6.73E-05,9.32E-10,2.40E-05,9.32E-10,2.40E-05,2.53E-10,2.32E-05,1.89E-08,3.90E-05
8.80E-01,9.96E-08,6.69E-05,5.39E-10,3.93E-05,1.98E-07,7.26E-05,2.76E-08,5.90E-05,1.19E-07,6.87E-05,3.02E-09,5.25E-05,8.44E-10,3.47E-05,8.44E-10,3.47E-05,2.50E-09,4.18E-05,1.31E-08,6.08E-05,7.66E-10,4.49E-05,2.54E-09,5.34E-05,2.65E-09,5.18E-05,3.84E-09,6.57E-05,9.18E-10,2.34E-05,9.18E-10,2.34E-05,2.48E-10,2.26E-05,1.82E-08,3.82E-05
8.70E-01,9.79E-08,6.57E-05,5.23E-10,3.85E-05,1.94E-07,7.14E-05,2.70E-08,5.79E-05,1.17E-07,6.75E-05,2.96E-09,5.13E-05,8.22E-10,3.36E-05,8.22E-10,3.36E-05,2.45E-09,4.05E-05,1.28E-08,5.95E-05,7.55E-10,4.36E-05,2.51E-09,5.20E-05,2.55E-09,5.04E-05,3.75E-09,6.41E-05,9.04E-10,2.28E-05,9.04E-10,2.28E-05,2.43E-10,2.20E-05,1.76E-08,3.74E-05
8.60E-01,9.63E-08,6.44E-05,5.07E-10,3.78E-05,1.91E-07,7.02E-05,2.65E-08,5.68E-05,1.15E-07,6.62E-05,2.91E-09,5.02E-05,7.99E-10,3.25E-05,7.99E-10,3.25E-05,2.39E-09,3.93E-05,1.25E-08,5.82E-05,7.22E-10,4.23E-05,2.45E-09,5.07E-05,2.48E-09,4.90E-05,3.64E-09,6.25E-05,8.91E-10,2.22E-05,8.91E-10,2.22E-05,2.39E-10,2.14E-05,1.70E-08,3.66E-05
8.50E-01,9.47E-08,6.32E-05,4.92E-10,3.70E-05,1.87E-07,6.90E-05,2.59E-08,5.56E-05,1.13E-07,6.50E-05,2.86E-09,4.91E-05,7.77E-10,3.14E-05,7.77E-10,3.14E-05,2.31E-09,3.81E-05,1.22E-08,5.69E-05,7.22E-10,4.11E-05,2.42E-09,4.94E-05,2.39E-09,4.76E-05,3.56E-09,6.09E-05,8.78E-10,2.16E-05,8.78E-10,2.16E-05,2.35E-10,2.09E-05,1.64E-08,3.58E-05
8.40E-01,9.32E-08,6.20E-05,4.77E-10,3.63E-05,1.84E-07,6.77E-05,2.54E-08,5.45E-05,1.12E-07,6.37E-05,2.80E-09,4.80E-05,7.55E-10,3.03E-05,7.55E-10,3.03E-05,2.22E-09,3.69E-05,1.19E-08,5.55E-05,6.99E-10,3.98E-05,2.38E-09,4.80E-05,2.31E-09,4.63E-05,3.45E-09,5.94E-05,8.64E-10,2.10E-05,8.64E-10,2.10E-05,2.30E-10,2.03E-05,1.58E-08,3.51E-05
8.30E-01,9.16E-08,6.07E-05,4.63E-10,3.55E-05,1.80E-07,6.65E-05,2.49E-08,5.34E-05,1.10E-07,6.25E-05,2.75E-09,4.68E-05,7.44E-10,2.93E-05,7.44E-10,2.93E-05,2.14E-09,3.57E-05,1.16E-08,5.42E-05,6.77E-10,3.86E-05,2.33E-09,4.67E-05,2.22E-09,4.49E-05,3.38E-09,5.78E-05,8.51E-10,2.05E-05,8.51E-10,2.05E-05,2.26E-10,1.97E-05,1.52E-08,3.43E-05
8.20E-01,9.01E-08,5.95E-05,4.48E-10,3.47E-05,1.77E-07,6.52E-05,2.44E-08,5.22E-05,1.08E-07,6.13E-05,2.70E-09,4.57E-05,7.11E-10,2.82E-05,7.11E-10,2.82E-05,2.10E-09,3.45E-05,1.14E-08,5.29E-05,6.66E-10,3.73E-05,2.30E-09,4.54E-05,2.14E-09,4.36E-05,3.26E-09,5.62E-05,8.38E-10,1.99E-05,8.38E-10,1.99E-05,2.22E-10,1.92E-05,1.47E-08,3.35E-05
8.10E-01,8.86E-08,5.82E-05,4.35E-10,3.40E-05,1.74E-07,6.40E-05,2.39E-08,5.11E-05,1.06E-07,6.00E-05,2.65E-09,4.46E-05,6.88E-10,2.72E-05,6.88E-10,2.72E-05,2.02E-09,3.33E-05,1.11E-08,5.16E-05,6.55E-10,3.61E-05,2.25E-09,4.41E-05,2.08E-09,4.22E-05,3.18E-09,5.46E-05,8.26E-10,1.93E-05,8.26E-10,1.93E-05,2.17E-10,1.86E-05,1.42E-08,3.27E-05
8.00E-01,8.71E-08,5.70E-05,4.21E-10,3.32E-05,1.71E-07,6.27E-05,2.34E-08,4.99E-05,1.05E-07,5.88E-05,2.60E-09,4.34E-05,6.66E-10,2.62E-05,6.66E-10,2.62E-05,1.98E-09,3.22E-05,1.08E-08,5.03E-05,6.22E-10,3.49E-05,2.22E-09,4.28E-05,2.00E-09,4.09E-05,3.10E-09,5.30E-05,8.13E-10,1.87E-05,8.13E-10,1.87E-05,2.13E-10,1.80E-05,1.37E-08,3.19E-05
7.90E-01,8.57E-08,5.57E-05,4.08E-10,3.24E-05,1.67E-07,6.14E-05,2.29E-08,4.88E-05,1.03E-07,5.75E-05,2.56E-09,4.23E-05,6.66E-10,2.52E-05,6.66E-10,2.52E-05,1.93E-09,3.10E-05,1.06E-08,4.90E-05,6.33E-10,3.37E-05,2.20E-09,4.15E-05,1.95E-09,3.96E-05,3.03E-09,5.15E-05,8.00E-10,1.82E-05,8.00E-10,1.82E-05,2.09E-10,1.75E-05,1.32E-08,3.11E-05
7.80E-01,8.42E-08,5.45E-05,3.96E-10,3.16E-05,1.64E-07,6.02E-05,2.25E-08,4.76E-05,1.01E-07,5.63E-05,2.51E-09,4.11E-05,6.55E-10,2.42E-05,6.55E-10,2.42E-05,1.88E-09,2.99E-05,1.03E-08,4.76E-05,6.22E-10,3.25E-05,2.15E-09,4.02E-05,1.89E-09,3.84E-05,2.94E-09,4.99E-05,7.88E-10,1.76E-05,7.88E-10,1.76E-05,2.05E-10,1.69E-05,1.27E-08,3.04E-05
7.70E-01,8.28E-08,5.32E-05,3.84E-10,3.08E-05,1.61E-07,5.89E-05,2.20E-08,4.65E-05,9.98E-08,5.50E-05,2.46E-09,4.00E-05,6.44E-10,2.32E-05,6.44E-10,2.32E-05,1.79E-09,2.88E-05,1.01E-08,4.63E-05,6.11E-10,3.13E-05,2.12E-09,3.89E-05,1.82E-09,3.71E-05,2.85E-09,4.83E-05,7.76E-10,1.70E-05,7.76E-10,1.70E-05,2.01E-10,1.63E-05,1.23E-08,2.96E-05
7.60E-01,8.14E-08,5.19E-05,3.72E-10,3.00E-05,1.58E-07,5.76E-05,2.16E-08,4.53E-05,9.82E-08,5.37E-05,2.42E-09,3.88E-05,6.22E-10,2.23E-05,6.22E-10,2.23E-05,1.74E-09,2.77E-05,9.83E-09,4.50E-05,5.88E-10,3.01E-05,2.08E-09,3.77E-05,1.77E-09,3.58E-05,2.79E-09,4.68E-05,7.64E-10,1.65E-05,7.64E-10,1.65E-05,1.97E-10,1.58E-05,1.18E-08,2.88E-05
7.50E-01,8.00E-08,5.07E-05,3.60E-10,2.92E-05,1.55E-07,5.63E-05,2.12E-08,4.42E-05,9.66E-08,5.25E-05,2.38E-09,3.77E-05,6.00E-10,2.13E-05,6.00E-10,2.13E-05,1.69E-09,2.66E-05,9.56E-09,4.37E-05,5.77E-10,2.90E-05,2.04E-09,3.64E-05,1.70E-09,3.46E-05,2.69E-09,4.52E-05,7.51E-10,1.59E-05,7.51E-10,1.59E-05,1.94E-10,1.52E-05,1.14E-08,2.80E-05
7.40E-01,7.86E-08,4.94E-05,3.49E-10,2.84E-05,1.53E-07,5.51E-05,2.08E-08,4.30E-05,9.49E-08,5.12E-05,2.33E-09,3.65E-05,5.88E-10,2.04E-05,5.88E-10,2.04E-05,1.64E-09,2.56E-05,9.33E-09,4.24E-05,5.66E-10,2.79E-05,2.00E-09,3.52E-05,1.63E-09,3.34E-05,2.61E-09,4.37E-05,7.40E-10,1.53E-05,7.40E-10,1.53E-05,1.90E-10,1.46E-05,1.10E-08,2.72E-05
7.30E-01,7.73E-08,4.82E-05,3.38E-10,2.75E-05,1.50E-07,5.38E-05,2.04E-08,4.19E-05,9.34E-08,5.00E-05,2.29E-09,3.54E-05,5.66E-10,1.95E-05,5.66E-10,1.95E-05,1.57E-09,2.45E-05,9.09E-09,4.11E-05,5.44E-10,2.67E-05,1.97E-09,3.39E-05,1.58E-09,3.22E-05,2.53E-09,4.22E-05,7.28E-10,1.48E-05,7.28E-10,1.48E-05,1.86E-10,1.41E-05,1.06E-08,2.64E-05
7.20E-01,7.59E-08,4.69E-05,3.27E-10,2.67E-05,1.47E-07,5.25E-05,2.00E-08,4.07E-05,9.19E-08,4.87E-05,2.25E-09,3.42E-05,5.55E-10,1.86E-05,5.55E-10,1.86E-05,1.53E-09,2.35E-05,8.86E-09,3.99E-05,5.33E-10,2.56E-05,1.94E-09,3.27E-05,1.52E-09,3.10E-05,2.47E-09,4.07E-05,7.16E-10,1.42E-05,7.16E-10,1.42E-05,1.82E-10,1.35E-05,1.02E-08,2.57E-05
7.10E-01,7.46E-08,4.57E-05,3.17E-10,2.59E-05,1.44E-07,5.12E-05,1.96E-08,3.96E-05,9.03E-08,4.75E-05,2.21E-09,3.31E-05,5.44E-10,1.77E-05,5.44E-10,1.77E-05,1.48E-09,2.25E-05,8.65E-09,3.86E-05,5.11E-10,2.46E-05,1.91E-09,3.15E-05,1.47E-09,2.99E-05,2.40E-09,3.92E-05,7.04E-10,1.37E-05,7.04E-10,1.37E-05,1.79E-10,1.30E-05,9.85E-09,2.49E-05
7.00E-01,7.32E-08,4.44E-05,3.07E-10,2.51E-05,1.41E-07,5.00E-05,1.92E-08,3.84E-05,8.88E-08,4.62E-05,2.17E-09,3.19E-05,5.22E-10,1.69E-05,5.22E-10,1.69E-05,1.42E-09,2.15E-05,8.38E-09,3.73E-05,5.00E-10,2.35E-05,1.87E-09,3.03E-05,1.43E-09,2.87E-05,2.31E-09,3.77E-05,6.93E-10,1.31E-05,6.93E-10,1.31E-05,1.75E-10,1.25E-05,9.49E-09,2.41E-05
