,hvtnfet_off,hvtnfet_on,hvtpfet_off,hvtpfet_on,lvtnfet_off,lvtnfet_on,lvtpfet_off,lvtpfet_on,rvtnfet_off,rvtnfet_on,rvtpfet_off,rvtpfet_on,srpdanfet_off,srpdanfet_on,srpdbnfet_off,srpdbnfet_on,srpdcnfet_off,srpdcnfet_on,srpdlnfet_off,srpdlnfet_on,srpganfet_off,srpganfet_on,srpgbnfet_off,srpgbnfet_on,srpgcnfet_off,srpgcnfet_on,srpglnfet_off,srpglnfet_on,srpuapfet_off,srpuapfet_on,srpubpfet_off,srpubpfet_on,srpucpfet_off,srpucpfet_on,srpulpfet_off,srpulpfet_on
6.90E-01,7.19E-08,4.32E-05,2.97E-10,2.42E-05,1.39E-07,4.87E-05,1.89E-08,3.73E-05,8.73E-08,4.50E-05,2.13E-09,3.08E-05,5.22E-10,1.60E-05,5.22E-10,1.60E-05,1.39E-09,2.05E-05,8.19E-09,3.61E-05,4.89E-10,2.24E-05,1.82E-09,2.91E-05,1.35E-09,2.76E-05,2.24E-09,3.63E-05,6.81E-10,1.26E-05,6.81E-10,1.26E-05,1.72E-10,1.19E-05,9.14E-09,2.34E-05
6.80E-01,7.06E-08,4.19E-05,2.87E-10,2.34E-05,1.36E-07,4.74E-05,1.85E-08,3.61E-05,8.58E-08,4.38E-05,2.09E-09,2.96E-05,4.89E-10,1.52E-05,4.89E-10,1.52E-05,1.33E-09,1.96E-05,7.96E-09,3.48E-05,4.77E-10,2.14E-05,1.78E-09,2.80E-05,1.33E-09,2.65E-05,2.18E-09,3.48E-05,6.70E-10,1.21E-05,6.70E-10,1.21E-05,1.68E-10,1.14E-05,8.80E-09,2.26E-05
6.70E-01,6.93E-08,4.07E-05,2.78E-10,2.26E-05,1.33E-07,4.61E-05,1.81E-08,3.50E-05,8.43E-08,4.25E-05,2.05E-09,2.85E-05,4.89E-10,1.44E-05,4.89E-10,1.44E-05,1.29E-09,1.87E-05,7.74E-09,3.36E-05,4.55E-10,2.04E-05,1.75E-09,2.68E-05,1.28E-09,2.54E-05,2.11E-09,3.34E-05,6.59E-10,1.15E-05,6.59E-10,1.15E-05,1.65E-10,1.08E-05,8.48E-09,2.18E-05
6.60E-01,6.80E-08,3.95E-05,2.69E-10,2.17E-05,1.31E-07,4.49E-05,1.78E-08,3.38E-05,8.29E-08,4.13E-05,2.01E-09,2.74E-05,4.77E-10,1.36E-05,4.77E-10,1.36E-05,1.26E-09,1.77E-05,7.54E-09,3.24E-05,4.55E-10,1.94E-05,1.72E-09,2.57E-05,1.23E-09,2.43E-05,2.03E-09,3.20E-05,6.48E-10,1.10E-05,6.48E-10,1.10E-05,1.61E-10,1.03E-05,8.17E-09,2.11E-05
6.50E-01,6.68E-08,3.82E-05,2.61E-10,2.09E-05,1.28E-07,4.36E-05,1.74E-08,3.27E-05,8.14E-08,4.01E-05,1.98E-09,2.62E-05,4.66E-10,1.28E-05,4.66E-10,1.28E-05,1.21E-09,1.68E-05,7.34E-09,3.12E-05,4.44E-10,1.84E-05,1.69E-09,2.46E-05,1.19E-09,2.33E-05,1.99E-09,3.06E-05,6.37E-10,1.05E-05,6.37E-10,1.05E-05,1.58E-10,9.80E-06,7.86E-09,2.03E-05
6.40E-01,6.56E-08,3.70E-05,2.52E-10,2.01E-05,1.26E-07,4.24E-05,1.71E-08,3.16E-05,8.00E-08,3.89E-05,1.94E-09,2.51E-05,4.55E-10,1.21E-05,4.55E-10,1.21E-05,1.18E-09,1.60E-05,7.13E-09,3.00E-05,4.33E-10,1.75E-05,1.67E-09,2.35E-05,1.16E-09,2.23E-05,1.92E-09,2.93E-05,6.26E-10,9.98E-06,6.26E-10,9.98E-06,1.55E-10,9.28E-06,7.57E-09,1.95E-05
6.30E-01,6.43E-08,3.58E-05,2.44E-10,1.92E-05,1.23E-07,4.11E-05,1.68E-08,3.04E-05,7.86E-08,3.77E-05,1.90E-09,2.40E-05,4.33E-10,1.14E-05,4.33E-10,1.14E-05,1.13E-09,1.51E-05,6.94E-09,2.88E-05,4.33E-10,1.65E-05,1.63E-09,2.24E-05,1.11E-09,2.13E-05,1.85E-09,2.79E-05,6.15E-10,9.48E-06,6.15E-10,9.48E-06,1.51E-10,8.78E-06,7.29E-09,1.88E-05
6.20E-01,6.31E-08,3.46E-05,2.36E-10,1.84E-05,1.21E-07,3.99E-05,1.64E-08,2.93E-05,7.72E-08,3.65E-05,1.87E-09,2.29E-05,4.22E-10,1.07E-05,4.22E-10,1.07E-05,1.11E-09,1.43E-05,6.73E-09,2.76E-05,4.11E-10,1.56E-05,1.60E-09,2.14E-05,1.08E-09,2.03E-05,1.79E-09,2.66E-05,6.04E-10,8.98E-06,6.04E-10,8.98E-06,1.48E-10,8.28E-06,7.01E-09,1.81E-05
6.10E-01,6.19E-08,3.34E-05,2.28E-10,1.76E-05,1.18E-07,3.86E-05,1.61E-08,2.82E-05,7.58E-08,3.53E-05,1.83E-09,2.18E-05,4.11E-10,9.96E-06,4.11E-10,9.96E-06,1.07E-09,1.35E-05,6.54E-09,2.65E-05,4.00E-10,1.47E-05,1.58E-09,2.03E-05,1.03E-09,1.93E-05,1.74E-09,2.53E-05,5.94E-10,8.49E-06,5.94E-10,8.49E-06,1.45E-10,7.78E-06,6.75E-09,1.73E-05
6.00E-01,6.07E-08,3.22E-05,2.21E-10,1.67E-05,1.16E-07,3.74E-05,1.58E-08,2.71E-05,7.44E-08,3.41E-05,1.80E-09,2.08E-05,4.00E-10,9.29E-06,4.00E-10,9.29E-06,1.04E-09,1.27E-05,6.36E-09,2.53E-05,4.00E-10,1.39E-05,1.55E-09,1.93E-05,1.01E-09,1.84E-05,1.69E-09,2.40E-05,5.83E-10,8.01E-06,5.83E-10,8.01E-06,1.42E-10,7.30E-06,6.49E-09,1.66E-05
5.90E-01,5.95E-08,3.10E-05,2.13E-10,1.59E-05,1.13E-07,3.62E-05,1.55E-08,2.60E-05,7.31E-08,3.30E-05,1.77E-09,1.97E-05,3.89E-10,8.64E-06,3.89E-10,8.64E-06,9.99E-10,1.19E-05,6.17E-09,2.42E-05,3.89E-10,1.30E-05,1.51E-09,1.83E-05,9.66E-10,1.74E-05,1.64E-09,2.28E-05,5.73E-10,7.54E-06,5.73E-10,7.54E-06,1.39E-10,6.82E-06,6.25E-09,1.59E-05
5.80E-01,5.84E-08,2.99E-05,2.06E-10,1.51E-05,1.11E-07,3.50E-05,1.52E-08,2.49E-05,7.17E-08,3.18E-05,1.73E-09,1.87E-05,3.89E-10,8.01E-06,3.89E-10,8.01E-06,9.55E-10,1.12E-05,5.98E-09,2.31E-05,3.78E-10,1.22E-05,1.48E-09,1.73E-05,9.33E-10,1.65E-05,1.57E-09,2.16E-05,5.62E-10,7.08E-06,5.62E-10,7.08E-06,1.36E-10,6.36E-06,6.01E-09,1.51E-05
5.70E-01,5.72E-08,2.87E-05,1.99E-10,1.43E-05,1.09E-07,3.38E-05,1.49E-08,2.39E-05,7.04E-08,3.06E-05,1.70E-09,1.76E-05,3.66E-10,7.41E-06,3.66E-10,7.41E-06,9.22E-10,1.04E-05,5.81E-09,2.20E-05,3.66E-10,1.14E-05,1.45E-09,1.64E-05,8.88E-10,1.56E-05,1.51E-09,2.04E-05,5.52E-10,6.62E-06,5.52E-10,6.62E-06,1.33E-10,5.91E-06,5.78E-09,1.44E-05
5.60E-01,5.61E-08,2.76E-05,1.93E-10,1.35E-05,1.07E-07,3.26E-05,1.46E-08,2.28E-05,6.91E-08,2.95E-05,1.67E-09,1.66E-05,3.55E-10,6.83E-06,3.55E-10,6.83E-06,8.77E-10,9.72E-06,5.63E-09,2.10E-05,3.55E-10,1.06E-05,1.41E-09,1.55E-05,8.66E-10,1.48E-05,1.47E-09,1.92E-05,5.42E-10,6.18E-06,5.42E-10,6.18E-06,1.30E-10,5.46E-06,5.55E-09,1.37E-05
5.50E-01,5.49E-08,2.65E-05,1.86E-10,1.26E-05,1.04E-07,3.14E-05,1.43E-08,2.17E-05,6.78E-08,2.84E-05,1.64E-09,1.56E-05,3.44E-10,6.27E-06,3.44E-10,6.27E-06,8.55E-10,9.04E-06,5.46E-09,1.99E-05,3.44E-10,9.86E-06,1.39E-09,1.45E-05,8.33E-10,1.39E-05,1.41E-09,1.81E-05,5.32E-10,5.75E-06,5.32E-10,5.75E-06,1.27E-10,5.04E-06,5.34E-09,1.30E-05
5.40E-01,5.39E-08,2.53E-05,1.80E-10,1.18E-05,1.02E-07,3.02E-05,1.40E-08,2.07E-05,6.65E-08,2.73E-05,1.60E-09,1.47E-05,3.44E-10,5.74E-06,3.44E-10,5.74E-06,8.33E-10,8.38E-06,5.30E-09,1.89E-05,3.44E-10,9.14E-06,1.37E-09,1.37E-05,8.11E-10,1.31E-05,1.37E-09,1.70E-05,5.22E-10,5.33E-06,5.22E-10,5.33E-06,1.24E-10,4.62E-06,5.13E-09,1.24E-05
5.30E-01,5.28E-08,2.42E-05,1.74E-10,1.11E-05,1.00E-07,2.90E-05,1.37E-08,1.97E-05,6.52E-08,2.62E-05,1.57E-09,1.37E-05,3.33E-10,5.23E-06,3.33E-10,5.23E-06,8.11E-10,7.75E-06,5.14E-09,1.79E-05,3.33E-10,8.44E-06,1.34E-09,1.28E-05,7.88E-10,1.23E-05,1.32E-09,1.59E-05,5.12E-10,4.92E-06,5.12E-10,4.92E-06,1.21E-10,4.22E-06,4.93E-09,1.17E-05
5.20E-01,5.17E-08,2.31E-05,1.68E-10,1.03E-05,9.79E-08,2.79E-05,1.34E-08,1.87E-05,6.40E-08,2.51E-05,1.54E-09,1.28E-05,3.22E-10,4.75E-06,3.22E-10,4.75E-06,7.66E-10,7.14E-06,4.97E-09,1.69E-05,3.22E-10,7.77E-06,1.31E-09,1.20E-05,7.55E-10,1.16E-05,1.28E-09,1.49E-05,5.02E-10,4.53E-06,5.02E-10,4.53E-06,1.18E-10,3.83E-06,4.74E-09,1.10E-05
5.10E-01,5.06E-08,2.21E-05,1.62E-10,9.51E-06,9.58E-08,2.67E-05,1.31E-08,1.77E-05,6.28E-08,2.40E-05,1.51E-09,1.19E-05,3.11E-10,4.29E-06,3.11E-10,4.29E-06,7.44E-10,6.56E-06,4.81E-09,1.60E-05,3.11E-10,7.12E-06,1.28E-09,1.11E-05,7.22E-10,1.08E-05,1.23E-09,1.39E-05,4.92E-10,4.15E-06,4.92E-10,4.15E-06,1.16E-10,3.47E-06,4.55E-09,1.04E-05
5.00E-01,4.96E-08,2.10E-05,1.56E-10,8.76E-06,9.37E-08,2.56E-05,1.29E-08,1.67E-05,6.15E-08,2.29E-05,1.48E-09,1.10E-05,3.00E-10,3.86E-06,3.00E-10,3.86E-06,7.11E-10,6.00E-06,4.66E-09,1.50E-05,3.05E-10,6.51E-06,1.26E-09,1.04E-05,6.99E-10,1.01E-05,1.17E-09,1.29E-05,4.82E-10,3.78E-06,4.82E-10,3.78E-06,1.13E-10,3.12E-06,4.37E-09,9.73E-06
4.90E-01,4.85E-08,2.00E-05,1.51E-10,8.02E-06,9.16E-08,2.45E-05,1.26E-08,1.57E-05,6.03E-08,2.19E-05,1.45E-09,1.01E-05,2.94E-10,3.45E-06,2.94E-10,3.45E-06,6.94E-10,5.47E-06,4.51E-09,1.41E-05,3.05E-10,5.92E-06,1.23E-09,9.59E-06,6.72E-10,9.38E-06,1.13E-09,1.19E-05,4.73E-10,3.43E-06,4.73E-10,3.43E-06,1.10E-10,2.79E-06,4.19E-09,9.11E-06
4.80E-01,4.75E-08,1.89E-05,1.45E-10,7.30E-06,8.97E-08,2.34E-05,1.23E-08,1.47E-05,5.91E-08,2.08E-05,1.43E-09,9.28E-06,2.78E-10,3.08E-06,2.78E-10,3.08E-06,6.66E-10,4.97E-06,4.36E-09,1.32E-05,2.89E-10,5.36E-06,1.20E-09,8.86E-06,6.44E-10,8.70E-06,1.09E-09,1.10E-05,4.63E-10,3.10E-06,4.63E-10,3.10E-06,1.08E-10,2.48E-06,4.03E-09,8.50E-06
4.70E-01,4.64E-08,1.79E-05,1.40E-10,6.60E-06,8.77E-08,2.23E-05,1.21E-08,1.38E-05,5.79E-08,1.98E-05,1.40E-09,8.48E-06,2.78E-10,2.73E-06,2.78E-10,2.73E-06,6.44E-10,4.49E-06,4.21E-09,1.23E-05,2.89E-10,4.83E-06,1.18E-09,8.16E-06,6.33E-10,8.04E-06,1.06E-09,1.01E-05,4.53E-10,2.78E-06,4.53E-10,2.78E-06,1.05E-10,2.19E-06,3.86E-09,7.90E-06
4.60E-01,4.54E-08,1.69E-05,1.35E-10,5.93E-06,8.57E-08,2.12E-05,1.18E-08,1.29E-05,5.68E-08,1.88E-05,1.37E-09,7.71E-06,2.67E-10,2.40E-06,2.67E-10,2.40E-06,6.22E-10,4.04E-06,4.08E-09,1.15E-05,2.83E-10,4.34E-06,1.16E-09,7.48E-06,6.05E-10,7.41E-06,1.02E-09,9.24E-06,4.44E-10,2.48E-06,4.44E-10,2.48E-06,1.02E-10,1.92E-06,3.71E-09,7.31E-06
4.50E-01,4.44E-08,1.59E-05,1.30E-10,5.29E-06,8.38E-08,2.01E-05,1.16E-08,1.20E-05,5.56E-08,1.78E-05,1.34E-09,6.99E-06,2.61E-10,2.10E-06,2.61E-10,2.10E-06,5.94E-10,3.61E-06,3.94E-09,1.06E-05,2.67E-10,3.87E-06,1.13E-09,6.83E-06,5.77E-10,6.81E-06,9.77E-10,8.42E-06,4.34E-10,2.20E-06,4.34E-10,2.20E-06,9.98E-11,1.67E-06,3.55E-09,6.75E-06
4.40E-01,4.35E-08,1.50E-05,1.26E-10,4.67E-06,8.19E-08,1.91E-05,1.13E-08,1.11E-05,5.45E-08,1.68E-05,1.32E-09,6.29E-06,2.61E-10,1.83E-06,2.61E-10,1.83E-06,5.66E-10,3.22E-06,3.80E-09,9.83E-06,2.67E-10,3.44E-06,1.11E-09,6.21E-06,5.55E-10,6.22E-06,9.33E-10,7.64E-06,4.25E-10,1.94E-06,4.25E-10,1.94E-06,9.72E-11,1.45E-06,3.41E-09,6.20E-06
4.30E-01,4.25E-08,1.40E-05,1.21E-10,4.10E-06,8.01E-08,1.81E-05,1.11E-08,1.03E-05,5.33E-08,1.59E-05,1.29E-09,5.64E-06,2.44E-10,1.59E-06,2.44E-10,1.59E-06,5.50E-10,2.85E-06,3.67E-09,9.06E-06,2.55E-10,3.03E-06,1.08E-09,5.63E-06,5.33E-10,5.67E-06,8.99E-10,6.90E-06,4.16E-10,1.70E-06,4.16E-10,1.70E-06,9.47E-11,1.25E-06,3.27E-09,5.67E-06
4.20E-01,4.15E-08,1.31E-05,1.17E-10,3.56E-06,7.83E-08,1.71E-05,1.08E-08,9.45E-06,5.22E-08,1.49E-05,1.26E-09,5.03E-06,2.39E-10,1.37E-06,2.39E-10,1.37E-06,5.22E-10,2.50E-06,3.54E-09,8.31E-06,2.50E-10,2.66E-06,1.06E-09,5.07E-06,5.22E-10,5.13E-06,8.66E-10,6.19E-06,4.06E-10,1.48E-06,4.06E-10,1.48E-06,9.22E-11,1.07E-06,3.13E-09,5.16E-06
4.10E-01,4.06E-08,1.22E-05,1.12E-10,3.06E-06,7.65E-08,1.61E-05,1.06E-08,8.67E-06,5.11E-08,1.40E-05,1.24E-09,4.46E-06,2.22E-10,1.17E-06,2.22E-10,1.17E-06,5.05E-10,2.19E-06,3.42E-09,7.59E-06,2.33E-10,2.32E-06,1.02E-09,4.55E-06,5.05E-10,4.63E-06,8.22E-10,5.53E-06,3.97E-10,1.28E-06,3.97E-10,1.28E-06,8.98E-11,9.07E-07,3.00E-09,4.67E-06
4.00E-01,3.97E-08,1.14E-05,1.08E-10,2.60E-06,7.47E-08,1.51E-05,1.03E-08,7.91E-06,5.00E-08,1.31E-05,1.21E-09,3.94E-06,2.17E-10,9.97E-07,2.17E-10,9.97E-07,4.83E-10,1.90E-06,3.29E-09,6.91E-06,2.28E-10,2.01E-06,9.99E-10,4.06E-06,4.77E-10,4.15E-06,7.88E-10,4.90E-06,3.88E-10,1.10E-06,3.88E-10,1.10E-06,8.74E-11,7.66E-07,2.87E-09,4.20E-06
3.90E-01,3.88E-08,1.05E-05,1.04E-10,2.19E-06,7.30E-08,1.41E-05,1.01E-08,7.19E-06,4.90E-08,1.22E-05,1.18E-09,3.46E-06,2.11E-10,8.44E-07,2.11E-10,8.44E-07,4.72E-10,1.64E-06,3.18E-09,6.25E-06,2.28E-10,1.73E-06,9.77E-10,3.60E-06,4.72E-10,3.70E-06,7.61E-10,4.32E-06,3.79E-10,9.40E-07,3.79E-10,9.40E-07,8.50E-11,6.44E-07,2.75E-09,3.76E-06
3.80E-01,3.79E-08,9.72E-06,1.00E-10,1.83E-06,7.12E-08,1.32E-05,9.88E-09,6.50E-06,4.79E-08,1.14E-05,1.16E-09,3.02E-06,2.05E-10,7.12E-07,2.05E-10,7.12E-07,4.55E-10,1.41E-06,3.06E-09,5.62E-06,2.22E-10,1.47E-06,9.60E-10,3.17E-06,4.44E-10,3.27E-06,7.33E-10,3.78E-06,3.70E-10,7.98E-07,3.70E-10,7.98E-07,8.26E-11,5.39E-07,2.63E-09,3.34E-06
3.70E-01,3.70E-08,8.94E-06,9.65E-11,1.50E-06,6.96E-08,1.23E-05,9.65E-09,5.85E-06,4.69E-08,1.05E-05,1.13E-09,2.62E-06,2.00E-10,5.97E-07,2.00E-10,5.97E-07,4.27E-10,1.20E-06,2.95E-09,5.03E-06,2.17E-10,1.25E-06,9.33E-10,2.78E-06,4.39E-10,2.88E-06,6.99E-10,3.28E-06,3.61E-10,6.72E-07,3.61E-10,6.72E-07,8.02E-11,4.48E-07,2.51E-09,2.94E-06
3.60E-01,3.61E-08,8.19E-06,9.29E-11,1.23E-06,6.79E-08,1.14E-05,9.43E-09,5.23E-06,4.59E-08,9.73E-06,1.11E-09,2.26E-06,1.94E-10,4.99E-07,1.94E-10,4.99E-07,4.16E-10,1.02E-06,2.84E-09,4.48E-06,2.11E-10,1.06E-06,9.10E-10,2.42E-06,4.22E-10,2.51E-06,6.72E-10,2.82E-06,3.52E-10,5.63E-07,3.52E-10,5.63E-07,7.79E-11,3.72E-07,2.40E-09,2.58E-06
3.50E-01,3.53E-08,7.47E-06,8.93E-11,9.89E-07,6.63E-08,1.06E-05,9.21E-09,4.66E-06,4.48E-08,8.96E-06,1.09E-09,1.94E-06,1.89E-10,4.15E-07,1.89E-10,4.15E-07,4.00E-10,8.53E-07,2.73E-09,3.96E-06,2.00E-10,8.83E-07,8.83E-10,2.09E-06,4.00E-10,2.17E-06,6.33E-10,2.41E-06,3.42E-10,4.69E-07,3.42E-10,4.69E-07,7.56E-11,3.07E-07,2.30E-09,2.24E-06
